datetime,co,Lat,Long,day,month,year,hour,gmt,no2,o3,pm10,pm25,so2
2018-07-27 11:00:00,0.28,34.06643,-118.22675,7,07,2018,11,-08:00,0.017,0.011000000000000001,43.0,32.0,0.0
2018-07-31 02:00:00,0.17,34.06643,-118.22675,1,07,2018,02,-08:00,0.006,0.032,15.0,7.0,0.0
2018-08-22 20:00:00,0.26,34.06643,-118.22675,2,08,2018,20,-08:00,0.01,0.057999999999999996,41.0,21.0,0.001
2018-06-05 16:00:00,0.27,34.06643,-118.22675,5,06,2018,16,-08:00,0.023,0.017,50.0,24.0,0.001
2018-07-28 00:00:00,0.29,34.06643,-118.22675,8,07,2018,00,-08:00,0.006999999999999999,0.067,35.0,17.0,0.0
2018-06-21 20:00:00,0.28,34.06643,-118.22675,1,06,2018,20,-08:00,0.016,0.055999999999999994,63.0,31.0,0.001
2018-08-22 05:00:00,0.21,34.06643,-118.22675,2,08,2018,05,-08:00,0.004,0.035,22.0,17.0,0.0
2018-07-23 11:00:00,0.26,34.06643,-118.22675,3,07,2018,11,-08:00,0.018000000000000002,0.006999999999999999,28.0,8.0,0.0
2018-07-30 01:00:00,0.21,34.06643,-118.22675,0,07,2018,01,-08:00,0.005,0.049,25.0,13.0,0.0
2018-07-31 05:00:00,0.25,34.06643,-118.22675,1,07,2018,05,-08:00,0.01,0.022000000000000002,16.0,11.0,0.0
2018-07-31 23:00:00,0.17,34.06643,-118.22675,1,07,2018,23,-08:00,0.005,0.04,25.0,11.0,0.0
2018-07-30 04:00:00,0.24,34.06643,-118.22675,0,07,2018,04,-08:00,0.006,0.040999999999999995,28.0,22.0,0.0
2018-07-25 17:00:00,0.45,34.06643,-118.22675,5,07,2018,17,-08:00,0.022000000000000002,0.034,61.0,28.0,0.001
2018-07-29 06:00:00,0.25,34.06643,-118.22675,9,07,2018,06,-08:00,0.01,0.019,23.0,14.0,0.0
2018-05-24 20:00:00,0.29,34.06643,-118.22675,4,05,2018,20,-08:00,0.011000000000000001,0.034,27.0,14.0,0.0
2018-06-21 23:00:00,0.25,34.06643,-118.22675,1,06,2018,23,-08:00,0.011000000000000001,0.07200000000000001,53.0,31.0,0.001
2018-07-09 02:00:00,0.18,34.06643,-118.22675,9,07,2018,02,-08:00,0.01,0.033,38.0,21.0,0.001
2018-07-10 01:00:00,0.21,34.06643,-118.22675,0,07,2018,01,-08:00,0.017,0.040999999999999995,36.0,17.0,0.001
2018-07-28 14:00:00,0.26,34.06643,-118.22675,8,07,2018,14,-08:00,0.009000000000000001,0.024,36.0,27.0,0.0
2018-07-03 10:00:00,0.08,34.06643,-118.22675,3,07,2018,10,-08:00,0.006,0.023,16.0,10.0,0.0
2018-08-09 22:00:00,0.19,34.06643,-118.22675,9,08,2018,22,-08:00,0.006999999999999999,0.049,31.0,12.0,0.001
2018-07-22 22:00:00,0.13,34.06643,-118.22675,2,07,2018,22,-08:00,0.003,0.033,24.0,6.0,0.0
2018-07-09 04:00:00,0.22,34.06643,-118.22675,9,07,2018,04,-08:00,0.013999999999999999,0.024,32.0,18.0,0.001
2018-06-05 19:00:00,0.23,34.06643,-118.22675,5,06,2018,19,-08:00,0.013999999999999999,0.034,42.0,22.0,0.001
2018-09-06 18:00:00,0.26,34.06643,-118.22675,6,09,2018,18,-08:00,0.009000000000000001,0.034,27.0,14.0,0.0
2018-07-03 06:00:00,0.1,34.06643,-118.22675,3,07,2018,06,-08:00,0.003,0.024,13.0,8.0,0.0
2018-07-28 18:00:00,0.37,34.06643,-118.22675,8,07,2018,18,-08:00,0.012,0.055999999999999994,48.0,25.0,0.0
2018-07-27 01:00:00,0.24,34.06643,-118.22675,7,07,2018,01,-08:00,0.006999999999999999,0.045,27.0,15.0,0.0
2018-05-10 03:00:00,0.21,34.06643,-118.22675,0,05,2018,03,-08:00,0.012,0.027000000000000003,30.0,12.0,0.0
2018-06-12 08:00:00,0.34,34.06643,-118.22675,2,06,2018,08,-08:00,0.017,0.018000000000000002,38.0,15.0,0.001
2018-07-03 07:00:00,0.08,34.06643,-118.22675,3,07,2018,07,-08:00,0.003,0.024,13.0,7.0,0.0
2018-07-25 03:00:00,0.24,34.06643,-118.22675,5,07,2018,03,-08:00,0.011000000000000001,0.028999999999999998,39.0,17.0,0.0
2018-08-18 12:00:00,0.44,34.06643,-118.22675,8,08,2018,12,-08:00,0.013999999999999999,0.012,32.0,17.0,0.0
2018-08-22 06:00:00,0.21,34.06643,-118.22675,2,08,2018,06,-08:00,0.003,0.034,25.0,15.0,0.0
2018-08-28 05:00:00,0.23,34.06643,-118.22675,8,08,2018,05,-08:00,0.005,0.032,24.0,15.0,0.0
2018-07-03 03:00:00,0.12,34.06643,-118.22675,3,07,2018,03,-08:00,0.006,0.027999999999999997,16.0,7.0,0.0
2018-07-27 14:00:00,0.38,34.06643,-118.22675,7,07,2018,14,-08:00,0.013999999999999999,0.016,48.0,37.0,0.0
2018-03-06 03:00:00,0.55,34.06643,-118.22675,6,03,2018,03,-08:00,0.032,0.002,23.0,6.0,0.0
2018-06-27 21:00:00,0.19,34.06643,-118.22675,7,06,2018,21,-08:00,0.01,0.055999999999999994,42.0,21.0,0.001
2018-08-27 09:00:00,0.28,34.06643,-118.22675,7,08,2018,09,-08:00,0.009000000000000001,0.026000000000000002,39.0,24.0,0.0
2018-07-09 01:00:00,0.19,34.06643,-118.22675,9,07,2018,01,-08:00,0.012,0.04,38.0,18.0,0.002
2018-08-01 21:00:00,0.16,34.06643,-118.22675,1,08,2018,21,-08:00,0.005,0.043,32.0,12.0,0.0
2018-08-18 04:00:00,0.21,34.06643,-118.22675,8,08,2018,04,-08:00,0.006,0.024,24.0,13.0,0.0
2018-07-27 06:00:00,0.28,34.06643,-118.22675,7,07,2018,06,-08:00,0.013000000000000001,0.024,35.0,22.0,0.0
2018-06-27 22:00:00,0.16,34.06643,-118.22675,7,06,2018,22,-08:00,0.009000000000000001,0.057,40.0,20.0,0.001
2018-08-12 02:00:00,0.14,34.06643,-118.22675,2,08,2018,02,-08:00,0.004,0.019,21.0,8.0,0.0
2018-08-18 19:00:00,0.35,34.06643,-118.22675,8,08,2018,19,-08:00,0.012,0.045,46.0,26.0,0.0
2018-07-28 03:00:00,0.3,34.06643,-118.22675,8,07,2018,03,-08:00,0.01,0.034,29.0,20.0,0.0
2018-07-31 04:00:00,0.25,34.06643,-118.22675,1,07,2018,04,-08:00,0.01,0.021,15.0,9.0,0.0
2018-08-28 17:00:00,0.33,34.06643,-118.22675,8,08,2018,17,-08:00,0.012,0.031,46.0,39.0,0.0
2018-05-28 17:00:00,0.15,34.06643,-118.22675,8,05,2018,17,-08:00,0.009000000000000001,0.033,41.0,24.0,0.001
2018-06-10 20:00:00,0.15,34.06643,-118.22675,0,06,2018,20,-08:00,0.006,0.055,51.0,17.0,0.001
2018-06-10 19:00:00,0.19,34.06643,-118.22675,0,06,2018,19,-08:00,0.006999999999999999,0.059000000000000004,38.0,16.0,0.001
2018-07-30 06:00:00,0.3,34.06643,-118.22675,0,07,2018,06,-08:00,0.011000000000000001,0.022000000000000002,18.0,14.0,0.0
2018-08-11 23:00:00,0.11,34.06643,-118.22675,1,08,2018,23,-08:00,0.002,0.026000000000000002,29.0,8.0,0.0
2018-07-16 01:00:00,0.18,34.06643,-118.22675,6,07,2018,01,-08:00,0.006999999999999999,0.04,31.0,16.0,0.001
2018-07-25 00:00:00,0.26,34.06643,-118.22675,5,07,2018,00,-08:00,0.008,0.053,48.0,14.0,0.001
